"Lab","SampleNumber","DateExamined","BoxTempNoOnReceipt","Retailer","OtherPremisesDetails","PostCode","Country","UseByDate","RemainingShelflifeDays","ProcessorApprovalNumber","SampleDetails","TemperatureAtCollection","SampleReceipt","ProductWeightGrams","CostOfChicken","TypeOfChicken","TypeOfChickenExtraDetails","TypeOfChickenExtraDetails2","PackagingAtmosphere","RoastInBag","LiquidInPack","NeckSkinWeightGrams","Test","Result","Units","SpeciesDetected"
"BI","BI1515854-01","2015-07-13","6.3","Tesco","","B73 6RB","England","2015-07-19","6","2037","Tesco everyday value British chicken ","3.7","Satisfactory","1732","4.3","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","390","CFU/g","C. jejuni"
"BI","BI1515854-01","2015-07-13","6.3","Tesco","","B73 6RB","England","2015-07-19","6","2037","Tesco everyday value British chicken ","3.7","Satisfactory","1732","4.3","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515854-02","2015-07-13","6.3","Tesco","","B73 6RB","England","2015-07-20","7","8005","Tesco British large whole chicken ","3","Satisfactory","1732","4.3","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","3350","CFU/g","C. jejuni"
"BI","BI1515854-02","2015-07-13","6.3","Tesco","","B73 6RB","England","2015-07-20","7","8005","Tesco British large whole chicken ","3","Satisfactory","1732","4.3","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515854-03","2015-07-13","6.3","M&S","","B73 6RB","England","2015-07-18","5","5011","Simply M&S British Oakham chicken small","6.6","Satisfactory","1100","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","18","Campylobacter spp  - enumeration cfu/g","7500","CFU/g","C. jejuni"
"BI","BI1515854-03","2015-07-13","6.3","M&S","","B73 6RB","England","2015-07-18","5","5011","Simply M&S British Oakham chicken small","6.6","Satisfactory","1100","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","18","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515854-04","2015-07-13","6.3","Aldi","","B73 5DA","England","2015-07-20","7","5011","Ashfield Farm medium whole chicken ","5.3","Satisfactory","1650","3.59","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","910","CFU/g","C. coli"
"BI","BI1515854-04","2015-07-13","6.3","Aldi","","B73 5DA","England","2015-07-20","7","5011","Ashfield Farm medium whole chicken ","5.3","Satisfactory","1650","3.59","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515854-05","2015-07-13","6.3","Aldi","","B73 5DA","England","2015-07-17","4","2037","Ashfield Farm large whole chicken","4.6","Satisfactory","2000","4.29","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","1280","CFU/g","Mixed C. jejuni and C. coli"
"BI","BI1515854-05","2015-07-13","6.3","Aldi","","B73 5DA","England","2015-07-17","4","2037","Ashfield Farm large whole chicken","4.6","Satisfactory","2000","4.29","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515871-01","2015-07-13","6.3","Co-op","","B76 1NY","England","2015-07-18","5","2037","The Co-operative loved by us, Co-op farming group British chicken ","2.3","Satisfactory","1766","3.4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","130","CFU/g","C. jejuni"
"BI","BI1515871-01","2015-07-13","6.3","Co-op","","B76 1NY","England","2015-07-18","5","2037","The Co-operative loved by us, Co-op farming group British chicken ","2.3","Satisfactory","1766","3.4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515871-02","2015-07-13","6.3","Sainsbury's","","B75 5BT","England","2015-07-18","5","8005","British corn fed whole chicken ","5.6","Satisfactory","1438","6.33","Standard","Corn Fed","","Not Stated","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","1860","CFU/g","C. jejuni"
"BI","BI1515871-02","2015-07-13","6.3","Sainsbury's","","B75 5BT","England","2015-07-18","5","8005","British corn fed whole chicken ","5.6","Satisfactory","1438","6.33","Standard","Corn Fed","","Not Stated","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1515871-03","2015-07-13","6.3","Sainsbury's","","B75 5BT","England","2015-07-19","6","5011","British small whole chicken by Sainsburys ","3.7","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","18","Campylobacter spp  - enumeration cfu/g","680","CFU/g","C. jejuni"
"BI","BI1515871-03","2015-07-13","6.3","Sainsbury's","","B75 5BT","England","2015-07-19","6","5011","British small whole chicken by Sainsburys ","3.7","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","18","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
